FECHA HECHO,DEPARTAMENTO,COD_MUNI,MUNICIPIO,CANTIDAD,TIPO_EVENTO,AÑO,TIPO,ARMAS MEDIOS,GENERO,GRUPO ETARÍO,Zona,Edad,UsuarioVia,ActorVial
2025-11-29,CUNDINAMARCA,25473,MOSQUERA,1.0,ACCIDENTE,2025,,,,,,,,
2025-11-29,CUNDINAMARCA,25473,MOSQUERA,1.0,ACCIDENTE,2025,,,,,,,,
2025-11-27,CUNDINAMARCA,25286,FUNZA,1.0,ACCIDENTE,2025,,,,,,,,
2025-11-27,CUNDINAMARCA,25286,FUNZA,1.0,ACCIDENTE,2025,,,,,,,,
2025-11-26,CUNDINAMARCA,25286,FUNZA,1.0,ACCIDENTE,2025,,,,,,,,
2025-11-26,CUNDINAMARCA,25286,FUNZA,1.0,ACCIDENTE,2025,,,,,,,,
2025-11-26,CUNDINAMARCA,25286,FUNZA,1.0,ACCIDENTE,2025,,,,,,,,
2025-11-26,CUNDINAMARCA,25286,FUNZA,1.0,ACCIDENTE,2025,,,,,,,,
2025-11-24,CUNDINAMARCA,25473,MOSQUERA,1.0,ACCIDENTE,2025,,,,,,,,
2025-11-24,CUNDINAMARCA,25473,MOSQUERA,1.0,ACCIDENTE,2025,,,,,,,,
2025-11-23,CUNDINAMARCA,25430,MADRID,1.0,ACCIDENTE,2025,,,,,,,,
2025-11-23,CUNDINAMARCA,25430,MADRID,1.0,ACCIDENTE,2025,,,,,,,,
2025-11-22,CUNDINAMARCA,25430,MADRID,1.0,ACCIDENTE,2025,,,,,,,,
2025-11-22,CUNDINAMARCA,25430,MADRID,1.0,ACCIDENTE,2025,,,,,,,,
2025-11-22,CUNDINAMARCA,25286,FUNZA,1.0,ACCIDENTE,2025,,,,,,,,
2025-11-20,CUNDINAMARCA,25286,FUNZA,1.0,ACCIDENTE,2025,,,,,,,,
2025-11-20,CUNDINAMARCA,25286,FUNZA,1.0,ACCIDENTE,2025,,,,,,,,
2025-11-20,CUNDINAMARCA,25286,FUNZA,1.0,ACCIDENTE,2025,,,,,,,,
2025-11-19,CUNDINAMARCA,25473,MOSQUERA,1.0,ACCIDENTE,2025,,,,,,,,
2025-11-19,CUNDINAMARCA,25286,FUNZA,1.0,ACCIDENTE,2025,,,,,,,,
2025-11-19,CUNDINAMARCA,25286,FUNZA,1.0,ACCIDENTE,2025,,,,,,,,
2025-11-19,CUNDINAMARCA,25286,FUNZA,1.0,ACCIDENTE,2025,,,,,,,,
2025-11-19,CUNDINAMARCA,25286,FUNZA,1.0,ACCIDENTE,2025,,,,,,,,
2025-11-18,CUNDINAMARCA,25286,FUNZA,1.0,ACCIDENTE,2025,,,,,,,,
2025-11-18,CUNDINAMARCA,25473,MOSQUERA,1.0,ACCIDENTE,2025,,,,,,,,
2025-11-18,CUNDINAMARCA,25473,MOSQUERA,1.0,ACCIDENTE,2025,,,,,,,,
2025-11-18,CUNDINAMARCA,25473,MOSQUERA,1.0,ACCIDENTE,2025,,,,,,,,
2025-11-18,CUNDINAMARCA,25473,MOSQUERA,1.0,ACCIDENTE,2025,,,,,,,,
2025-11-15,CUNDINAMARCA,25286,FUNZA,1.0,ACCIDENTE,2025,,,,,,,,
2025-11-15,CUNDINAMARCA,25286,FUNZA,1.0,ACCIDENTE,2025,,,,,,,,
2025-11-15,CUNDINAMARCA,25473,MOSQUERA,1.0,ACCIDENTE,2025,,,,,,,,
2025-11-14,CUNDINAMARCA,25286,FUNZA,1.0,ACCIDENTE,2025,,,,,,,,
2025-11-14,CUNDINAMARCA,25286,FUNZA,1.0,ACCIDENTE,2025,,,,,,,,
2025-11-14,CUNDINAMARCA,25430,MADRID,1.0,ACCIDENTE,2025,,,,,,,,
2025-11-14,CUNDINAMARCA,25473,MOSQUERA,1.0,ACCIDENTE,2025,,,,,,,,
2025-11-14,CUNDINAMARCA,25473,MOSQUERA,1.0,ACCIDENTE,2025,,,,,,,,
2025-11-11,CUNDINAMARCA,25286,FUNZA,1.0,ACCIDENTE,2025,,,,,,,,
2025-11-09,CUNDINAMARCA,25286,FUNZA,1.0,ACCIDENTE,2025,,,,,,,,
2025-11-08,CUNDINAMARCA,25473,MOSQUERA,1.0,ACCIDENTE,2025,,,,,,,,
2025-11-07,CUNDINAMARCA,25430,MADRID,1.0,ACCIDENTE,2025,,,,,,,,
2025-11-06,CUNDINAMARCA,25286,FUNZA,1.0,ACCIDENTE,2025,,,,,,,,
2025-11-02,CUNDINAMARCA,25286,FUNZA,1.0,ACCIDENTE,2025,,,,,,,,
2025-11-01,CUNDINAMARCA,25286,FUNZA,1.0,ACCIDENTE,2025,,,,,,,,
2025-11-01,CUNDINAMARCA,25286,FUNZA,1.0,ACCIDENTE,2025,,,,,,,,
2025-10-31,CUNDINAMARCA,25286,FUNZA,1.0,ACCIDENTE,2025,,,,,,,,
2025-10-30,CUNDINAMARCA,25473,MOSQUERA,1.0,ACCIDENTE,2025,,,,,,,,
2025-10-30,CUNDINAMARCA,25286,FUNZA,1.0,ACCIDENTE,2025,,,,,,,,
2025-10-30,CUNDINAMARCA,25286,FUNZA,1.0,ACCIDENTE,2025,,,,,,,,
2025-10-28,CUNDINAMARCA,25473,MOSQUERA,1.0,ACCIDENTE,2025,,,,,,,,
2025-10-27,CUNDINAMARCA,25286,FUNZA,1.0,ACCIDENTE,2025,,,,,,,,
2025-10-27,CUNDINAMARCA,25286,FUNZA,1.0,ACCIDENTE,2025,,,,,,,,
2025-10-25,CUNDINAMARCA,25430,MADRID,1.0,ACCIDENTE,2025,,,,,,,,
2025-10-25,CUNDINAMARCA,25473,MOSQUERA,1.0,ACCIDENTE,2025,,,,,,,,
2025-10-24,CUNDINAMARCA,25473,MOSQUERA,1.0,ACCIDENTE,2025,,,,,,,,
2025-10-22,CUNDINAMARCA,25286,FUNZA,1.0,ACCIDENTE,2025,,,,,,,,
2025-10-22,CUNDINAMARCA,25473,MOSQUERA,1.0,ACCIDENTE,2025,,,,,,,,
2025-10-21,CUNDINAMARCA,25286,FUNZA,1.0,ACCIDENTE,2025,,,,,,,,
2025-10-21,CUNDINAMARCA,25286,FUNZA,1.0,ACCIDENTE,2025,,,,,,,,
2025-10-21,CUNDINAMARCA,25473,MOSQUERA,1.0,ACCIDENTE,2025,,,,,,,,
2025-10-21,CUNDINAMARCA,25473,MOSQUERA,1.0,ACCIDENTE,2025,,,,,,,,
2025-10-20,CUNDINAMARCA,25473,MOSQUERA,1.0,ACCIDENTE,2025,,,,,,,,
2025-10-20,CUNDINAMARCA,25430,MADRID,1.0,ACCIDENTE,2025,,,,,,,,
2025-10-19,CUNDINAMARCA,25430,MADRID,1.0,ACCIDENTE,2025,,,,,,,,
2025-10-19,CUNDINAMARCA,25286,FUNZA,1.0,ACCIDENTE,2025,,,,,,,,
2025-10-18,CUNDINAMARCA,25430,MADRID,1.0,ACCIDENTE,2025,,,,,,,,
2025-10-17,CUNDINAMARCA,25286,FUNZA,1.0,ACCIDENTE,2025,,,,,,,,
2025-10-17,CUNDINAMARCA,25286,FUNZA,1.0,ACCIDENTE,2025,,,,,,,,
2025-10-16,CUNDINAMARCA,25286,FUNZA,1.0,ACCIDENTE,2025,,,,,,,,
2025-10-16,CUNDINAMARCA,25286,FUNZA,1.0,ACCIDENTE,2025,,,,,,,,
2025-10-15,CUNDINAMARCA,25473,MOSQUERA,2.0,ACCIDENTE,2025,,,,,,,,
2025-10-14,CUNDINAMARCA,25473,MOSQUERA,1.0,ACCIDENTE,2025,,,,,,,,
2025-10-13,CUNDINAMARCA,25286,FUNZA,1.0,ACCIDENTE,2025,,,,,,,,
2025-10-10,CUNDINAMARCA,25473,MOSQUERA,1.0,ACCIDENTE,2025,,,,,,,,
2025-10-10,CUNDINAMARCA,25473,MOSQUERA,1.0,ACCIDENTE,2025,,,,,,,,
2025-10-09,CUNDINAMARCA,25473,MOSQUERA,1.0,ACCIDENTE,2025,,,,,,,,
